,company_id,Company,Followers,No_of_Employees ,Industry_copy,Industry
225,cp_226,Rently,"5,346 followers",51-200 employees,Architecture and Planning 51-200 employees 180 on LinkedIn,Architecture and Planning 
226,cp_227,Astrosoft Technologies,"3,766,734 followers","10,001+ employees","Business Consulting and Services 10,001+ employees 147,917 on LinkedIn",Business Consulting and Services 
227,cp_228,AB InBev GCC India,"45,322 followers","1,001-5,000 employees","IT Services and IT Consulting 1,001-5,000 employees 1,983 on LinkedIn",IT Services and IT Consulting 
228,cp_229,The Timken Company,"61,541 followers","1,001-5,000 employees","Software Development 1,001-5,000 employees 3,247 on LinkedIn",Software Development 
229,cp_230,Siemens Gamesa,"3,521,902 followers","10,001+ employees","Semiconductor Manufacturing 10,001+ employees 123,987 on LinkedIn",Semiconductor Manufacturing 
230,cp_231,DIAGEO India,"277,108 followers",201-500 employees,Staffing and Recruiting 201-500 employees 935 on LinkedIn,Staffing and Recruiting 
231,cp_232,Jubilant Generics Limited,"17,412 followers","1,001-5,000 employees","Book and Periodical Publishing 1,001-5,000 employees 1,167 on LinkedIn",Book and Periodical Publishing 
232,cp_233,Cyfuture,"1,812 followers",201-500 employees,Information Technology & Services 201-500 employees 4 on LinkedIn,Information Technology & Services 
233,cp_234,Upstox,"6,223 followers",2-10 employees,IT Services and IT Consulting 2-10 employees 5 on LinkedIn,IT Services and IT Consulting 
234,cp_235,Emerson,"37,947 followers",51-200 employees,IT Services and IT Consulting 51-200 employees 84 on LinkedIn,IT Services and IT Consulting 
235,cp_236,Silicon Valley Bank,"137,253 followers","10,001+ employees","Financial Services 10,001+ employees 13,475 on LinkedIn",Financial Services 
