,company_id,Company,Followers,No_of_Employees ,Industry_copy,Industry
83,cp_84,Virtusa,"14,684,626 followers","10,001+ employees","IT Services and IT Consulting 10,001+ employees 594,255 on LinkedIn",IT Services and IT Consulting 
84,cp_85,TÜV SÜD,"1,302,328 followers","10,001+ employees","IT Services and IT Consulting 10,001+ employees 36,495 on LinkedIn",IT Services and IT Consulting 
85,cp_86,Arm,"185,511 followers","10,001+ employees","Insurance 10,001+ employees 10,687 on LinkedIn",Insurance 
86,cp_87,PW (PhysicsWallah),"1,794,490 followers","10,001+ employees","Financial Services 10,001+ employees 25,441 on LinkedIn",Financial Services 
87,cp_88,Citi,"589,193 followers","10,001+ employees","IT Services and IT Consulting 10,001+ employees 18,150 on LinkedIn",IT Services and IT Consulting 
88,cp_89,Technip Energies,"451,180 followers","10,001+ employees","IT Services and IT Consulting 10,001+ employees 14,070 on LinkedIn",IT Services and IT Consulting 
89,cp_90,Orange Business,"101,131 followers",51-200 employees,Software Development 51-200 employees 121 on LinkedIn,Software Development 
90,cp_91,Capgemini Engineering,"3,754,477 followers","10,001+ employees","IT Services and IT Consulting 10,001+ employees 101,571 on LinkedIn",IT Services and IT Consulting 
91,cp_92,UNIVO Education,"877,234 followers","10,001+ employees","Electric Power Transmission, Control, and Distribution 10,001+ employees 23,542 on LinkedIn","Electric Power Transmission, Control, and Distribution "
92,cp_93,ANZ,"451,180 followers","10,001+ employees","IT Services and IT Consulting 10,001+ employees 14,070 on LinkedIn",IT Services and IT Consulting 
93,cp_94,Regalix,"3,754,477 followers","10,001+ employees","IT Services and IT Consulting 10,001+ employees 101,571 on LinkedIn",IT Services and IT Consulting 
94,cp_95,Navis,"3,846,812 followers","10,001+ employees","Oil and Gas 10,001+ employees 149,538 on LinkedIn",Oil and Gas 
95,cp_96,Lowe's India,"245,414 followers","1,001-5,000 employees","Software Development 1,001-5,000 employees 3,732 on LinkedIn",Software Development 
96,cp_97,HT Digital Streams,"3,754,477 followers","10,001+ employees","IT Services and IT Consulting 10,001+ employees 101,571 on LinkedIn",IT Services and IT Consulting 
97,cp_98,airtel,"52,942 followers",201-500 employees,Financial Services 201-500 employees 673 on LinkedIn,Financial Services 
98,cp_99,Saint-Gobain Technical Insulation,"176,468 followers",51-200 employees,"Technology, Information and Media 51-200 employees 791 on LinkedIn","Technology, Information and Media "
99,cp_100,Purplle.com,"14,684,638 followers","10,001+ employees","IT Services and IT Consulting 10,001+ employees 594,255 on LinkedIn",IT Services and IT Consulting 
100,cp_101,H&M,"438,884 followers","10,001+ employees","Staffing and Recruiting 10,001+ employees 1,231 on LinkedIn",Staffing and Recruiting 
101,cp_102,Recmatrix Consulting,"3,766,663 followers","10,001+ employees","Business Consulting and Services 10,001+ employees 147,917 on LinkedIn",Business Consulting and Services 
102,cp_103,KPMG India,"563,789 followers","10,001+ employees","Financial Services 10,001+ employees 69,402 on LinkedIn",Financial Services 
103,cp_104,T&N Business Services,"322,183 followers","5,001-10,000 employees","Technology, Information and Internet 5,001-10,000 employees 8,051 on LinkedIn","Technology, Information and Internet "
104,cp_105,Gleren Technologies,"513,260 followers","10,001+ employees","Financial Services 10,001+ employees 38,266 on LinkedIn",Financial Services 
105,cp_106,Sercomm,"370,632 followers","1,001-5,000 employees","Advertising Services 1,001-5,000 employees 1,342 on LinkedIn",Advertising Services 
106,cp_107,Schbang,"129,882 followers","5,001-10,000 employees","Computers and Electronics Manufacturing 5,001-10,000 employees 3,149 on LinkedIn",Computers and Electronics Manufacturing 
